Melbourne,3730206
Sydney,4394576
Perth,1446704
Adelaide,1074159
Brisbane,958504
Gold Coast,527660
Newcastle,497955
Canberra,327700
Wollongong,260914
Logan City,253861
North Shore,207241
Geelong,160991
Cairns,154225
Geelong West,150437
City of Parramatta,148086
Townsville,138954
Albury,104258
Nowra,94781
Darwin,93080
Toowoomba,92800
Rainbow Beach,88946
Ballarat,85109
Bendigo,81657
Mackay,75922
Mandurah,73356
Launceston,72458
Rockhampton,65850
Coffs Harbour,62978
South Brisbane,60000
Adelaide Hills,60000
Wagga Wagga,55381
Bundaberg,52472
Port Macquarie,48547
Mildura,47867
Hobart,47700
Torquay,47556
Mooloolaba,44502
Taree,44182
Bathurst,40000
Orange,40000
Cranbourne,39419
Blacktown,38914
Caloundra,38706
Tamworth,38551
Hoppers Crossing,38108
Kalgoorlie,36852
Castle Hill,35389
Frankston East,34457
Shepparton,33550
St Albans,33511
Melton,32368
Queanbeyan,32214
Wodonga,31518
Lismore,31430
Gladstone,30489
Warrnambool,29928
Sunbury,29925
Dubbo,29361
Banora Point,27368
Geraldton,27258
Maroubra,26539
Bunbury,26369
Mosman,26236
Alice Springs,26188
Port Stephens,26000
Randwick,25819
Quakers Hill,25017
Palmerston,25000
Ferntree Gully,24724
Bentleigh East,24520
Southport,24096
Albany,23913
Canning Vale,23289
Glen Iris,23270
Mount Gambier,23209
Marrickville,23161
Morphett Vale,23049
Granville,22889
Armidale,22673
Mount Isa,22549
Caboolture,21478
Carlingford,21364
Liverpool,21317
Caringbah,21283
Goulburn,20940
Mornington,20821
Maryborough,7046
Booval,20540
Greensborough,20214
Kwinana,20086
Burnie,19972
Balwyn North,19968
Brunswick,19867
Craigieburn,19728
Whyalla,19645
Camberwell,19637
Malvern East,19593
Echuca,19457
Devonport,19317
Roebourne,19260
Glenmore Park,19200
Epping,18969
Notting Hill,18901
Hornsby,18800
Katoomba,18593
Surfers Paradise,18501
Paramatta,18448
Traralgon,18226
Murray Bridge,18194
Engadine,17937
Nerang,17684
Forster,17591
Dee Why,17463
Broken Hill,17395
Gosnells,17277
Cronulla,16754
Earlwood,16564
South Grafton,16399
Cessnock,16393
Gawler,16362
Mulgrave,16280
Saint Kilda,16122
Sunnybank,16108
Deception Bay,16090
Griffith,15455
Bracken Ridge,15355
Buderim,15228
Brighton East,15167
Carindale,15135
Carnegie,15084
Nambour,14919
Crafers,14717
Sawtell,14608
Lakemba,14468
Kingston,14371
Port Hedland,14288
Bentleigh,14271
Ballina,14242
Kingsford,14232
Lidcombe,14161
Caulfield North,14034
Wangaratta,14022
Manly,13950
Port Augusta,13897
Singleton,13813
Elwood,13785
Cleveland,13776
Bongaree,13649
Raymond Terrace,13606
Mount Druitt,13582
Bacchus Marsh,13575
Newtown,13552
Ingleburn,13541
Broome,13218
Coogee,13179
Hawthorn East,13133
Toorak,13127
Surrey Hills,13105
Miranda,13076
Doonside,13031
Concord,13008
Rockingham,12970
Moe,12948
Sale,12917
Horsham,12830
Port Kennedy,12816
Scarborough,9837
Inala,12568
Lavington,12476
Como,12425
Ashwood,12420
Prospect,12382
Chadstone,12357
Warwick,12347
Port Pirie,12328
Leichhardt,12247
Goonellabah,12137
Port Augusta West,12133
Armadale,8467
Blackburn,11958
Victoria Point,11930
Woodridge,11899
Burwood,11886
Hampton,11825
Varsity Lakes,11796
Karratha,11728
Charlestown,11725
Paddington,11661
Muswellbrook,11630
Morwell,11585
