Lisbon,517802
Porto,249633
Amadora,178858
Braga,121394
Setúbal,117110
Coimbra,106582
Queluz,103399
Funchal,100847
Cacém,93982
Vila Nova de Gaia,70811
Loures,66231
Évora,55620
Rio de Mouro,54695
Odivelas,54624
Aveiro,54162
Amora,52577
Corroios,52520
Barreiro,51280
Monsanto,50000
Rio Tinto,49966
São Domingos de Rana,46718
Leiria,45112
Ponte do Lima,44667
Faro,41355
Sesimbra,41134
Guimarães,40604
Ermezinde,39420
Portimão,38487
Cascais,36436
Maia,36426
Esposende,34625
Bragança,34375
Almada,34008
Castelo Branco,33479
Alcabideche,33315
Câmara de Lobos,32209
Arrentela,30156
Montijo,30011
Santarém,29385
Olhão,29239
Póvoa de Varzim,29044
Senhora da Hora,28930
Marinha Grande,28916
Póvoa de Santa Iria,28901
Sequeira,28502
Matosinhos,28070
Gondomar,27691
Águas Santas,27686
Vila do Conde,27642
Caldas da Rainha,26647
Canidelo,26431
Viseu,26364
Sintra,26193
Paço de Arcos,25974
São Mamede de Infesta,25940
Torres Vedras,24443
Oliveira do Douro,24407
Fânzeres,23916
Charneca,23714
Estoril,23700
Carnaxide,23698
Pinhal Novo,23510
Monte Estoril,23375
Pontinha,23249
Loulé,23109
São João da Madeira,22079
Bougado,21680
Valongo,5085
Caparica,21167
Belas,21019
Linda-a-Velha,20895
Laranjeiro,20473
Carcavelos,20366
Camarate,20177
Ponta Delgada,20056
Entroncamento,19887
Monção,19738
Piedade,19472
Custoias,19406
Algés,19327
Tomar,19168
Barcelos,19085
Pedroso,18963
Vilar de Andorinho,18944
São João da Talha,18925
Lagos,18831
Quarteira,18783
Santa Iria da Azóia,18573
Ovar,18452
Vila Franca de Xira,18355
Leça da Palmeira,17996
Moita,17795
Sacavém,17718
Covilhã,17610
Ramada,17535
Pombal,17355
Ílhavo,17236
Parede,17212
São Pedro da Cova,17011
Vila Real,17001
Palmela,16934
Fafe,16868
Feira,16376
Leça do Bailio,16103
Vialonga,16088
Albufeira,15851
Baguim do Monte,15850
Peniche,15662
Portalegre,15581
Viana do Castelo,15555
Póvoa de Santo Adrião,14897
Gafanha da Nazaré,14840
Vilar do Paraíso,14727
Torres Novas,14526
Alfena,14455
Valbom,14443
Canelas,14247
Costa de Caparica,14231
Valenza,14172
Samora Correia,14154
Santo Tirso,14021
Tavira,13871
Porto Salvo,13867
Abrantes,13646
Arcozelo,13495
Alhos Vedros,13384
Chaves,13066
Montemor-o-Novo,12854
Sines,12791
Ourém,12729
Machico,12567
Pedrouços,12553
Perafita,12538
Mirandela,12504
Azenha,12260
Mafra,12259
Aldeia de Paio Pires,12179
Rio Maior,12064
Figueira da Foz,12050
Angra do Heroísmo,12045
Caniço,11996
Barcarena,11968
Águeda,11941
Fátima,11798
Oliveira de Azemeis,11771
São Félix da Marinha,11685
Avintes,11577
Vila Real de Santo António,11560
Almeirim,11557
Rebordosa,11491
Moscavide,11488
Lousã,11445
Esmoriz,11393
Calendário,11357
Moreira,11336
Vendas Novas,11248
Santo André,10601
Óbidos,11187
São Brás de Alportel,11153
Sobreda,11146
Santo António da Charneca,11143
Cucujães,11087
Ponte de Sor,11062
Caneças,10978
Anta,10951
Lamego,10928
Silves,10917
Grijó,10907
Vale da Amoreira,10828
Grândola,10737
Unhos,10712
Gulpilhares,10660
Margaride,10652
Cartaxo,10502
Aver-o-Mar,10501
São João das Lampas,10484
Carregado,10474
Caldas de Vizela,10239
Selho,10223
Lordelo,4560
Meadela,9981
Elvas,9904
Almancil,9898
Maceira,9831
Fundão,9725
Alcochete,9705
Lavra,9633
Alenquer,9626
Lourosa,9619
Madalena,6136
São João de Ver,9568
Espinho,9566
Rio de Loba,9529
Vila Nova de Famalicão,9496
Famões,9435
Moura,9360
Estremoz,9350
Abraveses,9319
Valadares,9255
Lagoa,6301
Guifões,9231
Alcácer do Sal,9198
Lourinhã,9196
Quinta do Anjo,9124
Nazaré,8993
Benavente,8932
Campo,4551
Mangualde,8895
Quejas,8828
Santana,8804
Tondela,8800
Coruche,8776
Argoncilhe,8743
Ribeirão,8735
Fiães,8708
São Romão do Coronado,8697
Camacha,7991
Estômbar,8590
Tavarede,8586
Benedita,8556
Moncarapacho,8545
Aves,8507
Soure,8416
Bobadela,8399
São Bartolomeu de Messines,8381
Castelões de Cepeda,8322
Atouguia da Baleia,8313
Almargem,8271
Campo Maior,8235
Beduido,8201
Darque,8092
Penafiel,8065
Serzedo,8000
Freamunde,7983
Albergaria-a-Velha,7974
Alpiarça,7946
Batalha,7910
Colares,7905
Rosto de Cão,7880
Ferreiros,7870
Joane,7869
Buarcos,7865
Miranda do Corvo,7857
Santiago do Cacém,7797
Sande,7789
Pragal,7701
Mira,7682
Rabo de Peixe,7681
Castanheira do Ribatejo,7651
Vale de Cambra,7649
Ericeira,7538
Nossa Senhora do Monte,7444
Cantanhede,7347
Aradas,7295
Mozelos,7230
Alhandra,7226
Reguengos de Monsaraz,7217
Silvalde,7188
Apelação,7182
Azambuja,7179
Oiã,7118
Seia,7082
Jovim,7067
Ponte,7041
Válega,7005
Arrifes,6981
Silveira,6942
Arrifana,6927
Amarante,6782
Paços de Ferreira,6782
São João,6762
Arcos,6725
Sobrado,6703
Negrelos,6664
Fazendas de Almeirim,6635
A dos Cunhados,6594
Serpa,6586
Horta,6572
Macedo de Cavaleiros,6566
Avanca,6540
Cacilhas,6494
Sandim,6449
Foz do Sousa,6315
Perozinho,6259
Oliveira do Bairro,6239
Santa Cruz do Bispo,6230
Oliveira,6222
Arruda dos Vinhos,6170
Aljubarrota,6146
São Vicente,6063
Praia da Vitória,6061
Marinhas,6052
Lobão,6049
Gandra,6034
Porto de Mós,6032
Santa Cruz,6010
Eixo,5978
Olival do Basto,5959
Milharado,5935
Ribeira Brava,5932
Arazede,5906
Bombarral,5852
Vila Nova da Telha,5848
Redondo,5845
Odemira,5830
Real,5827
Vieira de Leiria,5807
Marinhais,5788
Caldelas,5724
Olival,5715
Sertã,5636
Branca,5632
Lamas,5628
Moreira de Conegos,5607
Trafaria,5603
Carregal do Sal,5600
São Roque,5575
Barrosas,5573
Antas,5569
Vilela,5540
Poiares,5514
Pataias,5510
Vila Viçosa,5484
Riachos,5463
Urgeses,5457
Monchique,5421
São Miguel do Couto,5416
Galegos,5404
Aljustrel,5334
Nogueira da Regedoura,5328
Gemunde,5284
Alvor,5272
Caranguejeira,5248
Ventosa,5215
Ribeira Grande,5198
Salvaterra de Magos,5165
Ferreiras,5157
Castro Marim,5089
Louriçal,5085
Brito,5051
Alcobaça,5051
Peso da Régua,5048
Refojos de Basto,5037
Vila Franca do Campo,5035
Alcains,5030
Alcanede,5020
Póvoa de Lanhoso,5008
Vila Praia de Âncora,4987
Oliveirinha,4971
Venda do Pinheiro,4950
São Teotónio,4936
Baltar,4929
Souto,4922
Godim,4919
Fajã de Baixo,4915
Gafanha da Encarnação,4914
Macieira de Cambra,4909
Ronfe,4888
Amor,4870
Castro Verde,4857
Recarei,4856
Arões,4855
Nogueira,4855
Rio Meão,4802
Pero Pinheiro,4792
São João dos Montes,4772
Malveira,4747
Castro Daire,4744
Oliveira do Hospital,4704
Teixoso,4703
Terrugem,4693
Ferreira do Alentejo,4689
Lustosa,4686
Telões,4675
