Bucharest,1877155
Iaşi,318012
Cluj-Napoca,316748
Timişoara,315053
Craiova,304142
Constanţa,303399
Galaţi,294087
Braşov,276088
Ploieşti,228851
Brăila,213569
Oradea,206614
Bacău,171396
Arad,169065
Piteşti,167669
Sibiu,151894
Târgu-Mureş,146863
Baia Mare,136553
Buzău,130954
Botoşani,114783
Satu Mare,112490
Râmnicu Vâlcea,107558
Suceava,105796
Focşani,105112
Piatra Neamţ,102688
Drobeta-Turnu Severin,102346
Târgu Jiu,97179
Tulcea,92475
Targoviste,90000
Târgovişte,88435
Bistriţa,81318
Reşiţa,81228
Slatina,78988
Vaslui,69225
Hunedoara,69136
Giurgiu,69067
Roman,67819
Bîrlad,67818
Deva,67802
Alba Iulia,66085
Zalău,63232
Sfântu-Gheorghe,60677
Turda,54586
Mediaş,53040
Alexandria,49346
Paşcani,45000
Petroşani,44187
Medgidia,43315
Lugoj,43243
Miercurea Ciuc,42030
Miercurea-Ciuc,41282
Tecuci,41154
Sighetu Marmaţiei,40653
Mangalia,39619
Rîmnicu Sărat,38526
Dej,38033
Odorheiu Secuiesc,36532
Reghin-Sat,35490
Fogarasch,34034
Caracal,33761
Năvodari,33106
Feteşti,32866
Curtea de Argeş,32178
Dorohoi,30776
Roşiori de Vede,30774
Lupeni,30488
Voluntari,30323
Săcele,29918
Fălticeni,29576
Huşi,29129
Vulcan,28869
Turnu Măgurele,28783
Aiud,28341
Caransebeş,27521
Sebeş,27246
Radowce,27241
Borşa,26966
Cîmpia Turzii,26457
Olteniţa,26356
Petrila,25234
Cugir,24734
Codlea,24188
Moineşti,23981
Gherla,23741
Comăneşti,23729
Carei,22583
Motru,22319
Orăştie,20763
Buftea,20691
Drăgăşani,20630
Balş,20626
Moreni,20596
Tîrgu Neamţ,20473
Blaj,20371
Tîrgu Secuiesc,20067
Corabia,20047
Băicoi,19869
Gheorgheni,19777
Câmpulung Moldovenesc,19765
Băileşti,19599
Filiaşi,18995
Margita,18935
Calafat,18643
Cernavodă,18502
Buhuşi,18395
Breaza,17949
Salonta,17561
Adjud,17298
Luduş,17165
Urziceni,16770
Baia Sprie,16746
Bocşa,16349
Vişeu de Sus,16321
Pantelimon,16206
Vatra Dornei,16054
Brad,15988
Gura Humorului,15728
Şimleu Silvaniei,15721
Mizil,15532
Ocna Mureş,15316
Popeşti-Leordeni,15279
Rîşnov,15253
Zimnicea,15228
Cisnădie,15042
Găeşti,15037
Pucioasa,14971
Dărmăneşti,7919
Vicovu de Sus,14077
Avrig,14032
Simeria,13827
Tîrgu Frumos,13797
Dăbuleni,13641
Negreşti-Oaş,13456
Vălenii de Munte,13276
Moldova Nouă,13263
Ovidiu,13257
Comarnic,13254
Tîrgu Ocna,13127
Sânnicolau Mare,12888
Ştefăneşti,12837
Pecica,12804
Chitila,12788
Călan,12782
Sîntana,12706
Poiana Mare,12633
Scorniceşti,12456
Orşova,12350
Oraviţa,12332
Rovinari,12259
Ţăndărei,12231
Drăgăneşti-Olt,12056
Jilava,12023
Sinaia,11918
Darabani,11890
Tomeşti,11828
Videle,11813
Storeşti,11806
Urlaţi,11798
Marasheshty,11768
Holboca,11708
Bolintin Vale,11700
Matca,11642
Strehaia,11607
Oţelu Roşu,11482
Sovata,11465
Boldeşti-Scăeni,11460
Székelyhíd,11443
Nehoiu,11350
Belceşti,11335
Hîrlău,11295
Pechea,11287
Ianca,11209
Jibou,11183
Lipova,11041
Topoloveni,11039
Măneciu,11033
Dolhasca,11025
Covasna,10979
Lieşti,10956
Beclean,10909
Murfatlar,10906
Haţeg,10865
Jimbolia,10860
Dofteana,10785
Beiuş,10721
Costeşti,10654
Agnita,10505
Deleni,10484
Vladimirescu,10451
Bumbeşti-Jiu,10445
Călineşti,10419
Seini,10382
Năsăud,10380
Valea Călugărească,10378
Otopeni,10332
Măcin,10295
Bucov,10279
Aleşd,10264
Cormaia,10254
Valea lui Mihai,10240
Săbăoani,10218
Filipeştii de Pădure,10169
Nicolae Bălcescu,10140
Ciurea,10110
Babadag,10101
Titu,10081
Hîrşova,10055
Ineu,10051
Negreşti,10043
Sascut,10031
Mihail Kogălniceanu,9970
Uricani,9924
Buşteni,9906
Homocea,9869
Poienile de sub Munte,9865
Liteni,9833
Munteni,9760
Podu Iloaiei,9752
Cumpăna,9731
Modelu,9672
Iveşti,9671
Curtici,9615
Budeşti,9598
Oituz,9596
Plopeni,9579
Cristuru Secuiesc,9554
Borcea,9546
Prim Decembrie,9537
Cernica,9530
Zorleni,9511
Eforie Sud,9498
Marginea,9488
Berca,9479
Tăşnad,9466
Diószeg,9455
Şimian,9434
Baraolt,9429
Huedin,9395
Măgurele,9375
Băbeni,9350
Iernut,9343
Siret,9246
Bărcăneşti,9225
Brăneşti,8645
Preuteşti,9048
Vadu Paşii,9034
Întorsura Buzăului,9026
Ion Luca Caragiale,8982
Cobadin,8979
Borleşti,8965
Moisei,8877
Puchenii Mari,8869
Lovrin,8851
Panciu,8810
Hotarele,8790
Ariceştii-Rahtivani,8764
Başcov,8759
Valu lui Traian,8733
Vînători-Neamţ,8707
Anina,8689
Roznov,8688
Apahida,8658
Salcea,8655
Tîrgu Cărbuneşti,8646
Dragalina,8642
Joiţa,8616
Verneşti,8603
Pipirig,8569
Vulturu de Sus,8549
Milcovul,8547
Recaş,8508
Călimăneşti,8485
Tîrgşoru Vechi,8460
Turceni,8458
Brazii de Sus,8406
Milişăuţi,8399
Zlatna,8393
Popeşti,8386
Roata de Jos,8350
Bicaz,8340
Vidra,7423
Răzvad,8305
Potlogi,8299
Tămăşeni,8292
Sadova,8277
Bragadiru,8274
Corbii Mari,8257
Băleni Sîrbi,8231
Brăhăşeştii de Jos,8214
Răuceşti,8204
Orbeasca de Sus,8203
Dragomireşti,8194
Chişineu Criş,8171
Dumbrăveni,8110
Miroslava,8127
Săveni,8126
Prejmer,8106
Chiajna,8105
Burueneşti,8101
Nădlac,8067
Cudalbi,8055
Baciu,8046
Mărgineni-Munteni,8033
Odobeşti,8026
Chirnogi,8022
Şiria,8004
Gătaia,8002
Vorona Teodoru,7992
Cotnari,7985
Balcani,7958
Segarcea,7944
Poduri,7937
Cîmpeni,7932
Moţăţei,7898
Corod,7855
Piatra Şoimului,7848
Vasilaţi,7840
Răcăciuni,7839
Peretu,7816
Castelu,7816
Văcăreşti,7812
Filipeştii de Tîrg,7794
Adîncata,7779
Pogoanele,7777
Sîngeorgiu de Mureş,7776
Suraia,7770
Tismana,7751
Gilău,7745
Comana,7717
Răducăneni,7706
Murgeni,7665
Ţibăneşti,7662
Blejoiu,7646
Buziaş,7625
Scobinţi,7618
Corneşti,7616
Ulmi,7606
Band,7599
Brebu Mînăstirei,7591
Şomcuta Mare,7584
Fieni,7566
Amara,7557
Scheia,7533
Bujor,7532
Floreşti,7397
Mihăileşti,7506
Tuluceşti,7503
Sarichioi,7483
Sagna,7443
Asău,7438
Girov,7396
Sărmaşu,7371
Bixad,7369
Doljeşti,7359
Băleşti,7333
Vadu Moldovei,7325
Însurăţei,7309
Cornu Luncii,7288
Bălan,7275
Măieru,7259
Armăşeşti,7243
Cajvana,7236
Periş,7235
Slobozia-Conache,7234
Glina,7227
Tărlungeni,7219
Cojasca,7205
